draw_date,n1,n2,n3,n4,n5,n6,jolly,superstar
2025-07-18,20,37,50,70,75,88,46,16
2025-07-17,16,35,37,42,43,68,58,8
2025-07-15,4,10,14,48,58,83,47,63
2025-07-12,16,24,25,43,64,78,54,12
2025-07-11,1,31,40,62,64,74,81,11
2025-07-10,5,15,20,32,65,75,12,24
2025-07-08,1,33,40,61,64,73,15,48
2025-07-05,16,46,61,71,75,85,64,12
2025-07-04,26,45,58,65,70,82,27,73
2025-07-03,37,42,49,53,57,65,62,8
2025-07-01,6,9,25,28,75,79,83,20
2025-06-28,10,35,38,41,51,56,3,51
2025-06-27,25,49,54,55,62,73,4,86
2025-06-26,10,56,69,70,79,81,53,45
2025-06-24,2,23,32,36,63,64,37,76
2025-06-21,4,17,28,36,42,50,5,71
2025-06-20,34,67,76,77,86,90,40,43
2025-06-19,4,6,11,31,69,73,9,26
2025-06-17,17,48,52,58,86,87,74,49
2025-06-14,10,18,44,56,73,86,48,55
2025-06-13,8,23,25,48,78,83,80,39
2025-06-12,21,61,69,76,79,81,77,76
2025-06-10,14,45,55,62,76,80,51,17
2025-06-07,5,28,46,49,52,76,83,21
2025-06-06,2,10,33,55,73,74,80,49
2025-06-05,10,17,19,21,63,74,4,60
2025-06-03,1,6,31,37,47,71,26,72
2025-05-31,4,8,47,48,63,90,77,12
2025-05-30,31,34,62,63,82,87,81,77
2025-05-29,27,32,51,67,71,81,35,90
2025-05-27,7,10,35,40,53,75,60,33
2025-05-24,1,3,5,53,62,71,32,53
2025-05-23,2,8,10,18,20,79,13,10
2025-05-22,2,19,23,46,49,72,71,88
2025-05-20,5,19,21,30,33,48,74,39
2025-05-17,10,11,19,22,39,88,29,73
2025-05-16,15,21,30,31,42,80,69,42
2025-05-15,10,28,35,37,73,75,42,27
2025-05-13,2,15,25,62,76,81,89,5
2025-05-10,8,14,17,39,49,55,2,80
2025-05-09,3,47,51,77,85,88,52,39
2025-05-08,1,23,27,54,67,83,65,30
2025-05-06,2,35,51,58,63,88,8,51
2025-05-05,6,18,37,63,72,73,36,28
2025-05-03,1,4,22,44,70,72,18,53
2025-05-02,54,55,67,76,80,85,82,52
2025-04-29,20,31,39,59,60,82,57,10
2025-04-28,13,18,30,44,51,81,38,52
2025-04-26,10,21,24,48,63,67,34,45
2025-04-24,13,14,20,31,55,60,89,25
2025-04-22,10,59,61,62,68,74,43,31
2025-04-19,8,32,51,54,62,69,18,30
2025-04-18,4,11,18,23,83,88,89,70
2025-04-17,8,20,40,44,46,49,63,48
2025-04-15,40,57,60,66,80,81,36,9
2025-04-12,16,38,60,79,83,85,27,36
2025-04-11,9,20,43,49,52,57,61,8
2025-04-10,11,24,32,40,44,85,27,36
2025-04-08,11,20,34,46,48,90,68,81
2025-04-05,5,8,22,41,60,73,18,54
2025-04-04,42,51,71,77,80,82,72,5
2025-04-03,29,30,31,32,35,57,26,6
2025-04-01,4,19,32,47,74,81,10,90
2025-03-29,9,45,66,68,71,85,31,44
2025-03-28,17,26,46,56,71,90,6,22
2025-03-27,28,35,43,45,64,85,13,35
2025-03-25,27,29,31,60,74,88,71,23
2025-03-22,15,28,45,46,66,76,44,43
2025-03-21,7,15,48,49,65,80,67,39
2025-03-20,36,40,49,54,66,83,14,44
2025-03-18,1,64,73,79,80,86,39,68
2025-03-15,2,8,50,77,79,82,85,36
2025-03-14,3,10,20,36,37,49,21,14
2025-03-13,7,25,33,51,58,70,79,31
2025-03-11,22,27,48,55,58,90,63,11
2025-03-08,11,16,35,59,65,87,9,52
2025-03-07,11,24,25,30,43,47,28,5
2025-03-06,1,10,18,19,32,36,20,53
2025-03-04,9,28,52,63,77,79,11,39
2025-03-01,1,12,33,40,41,83,6,67
2025-02-28,4,12,37,59,63,90,70,15
2025-02-27,29,31,33,42,51,72,34,62
2025-02-25,6,58,68,83,89,90,73,50
2025-02-22,35,40,48,49,52,89,24,32
2025-02-21,21,45,48,72,79,87,73,89
2025-02-20,6,19,27,63,71,77,13,70
2025-02-18,3,5,7,54,76,85,89,64
2025-02-15,22,37,48,72,77,85,39,72
2025-02-14,18,30,40,52,60,71,65,70
2025-02-13,31,41,62,64,74,87,84,68
2025-02-11,9,39,55,75,79,86,2,56
2025-02-08,29,46,57,66,72,86,64,40
2025-02-07,16,29,30,47,52,84,10,17
2025-02-06,4,11,41,72,83,86,30,30
2025-02-04,10,29,41,77,83,85,56,80
2025-02-01,21,25,26,45,49,59,68,82
2025-01-31,7,18,22,25,30,72,76,51
2025-01-30,23,32,34,35,41,47,65,2
2025-01-28,48,63,65,72,77,82,85,47
2025-01-25,5,6,24,44,45,76,58,64
2025-01-24,14,20,46,62,84,85,1,78
2025-01-23,1,7,34,46,69,80,64,42
2025-01-21,3,18,41,58,62,73,64,20
2025-01-18,2,10,21,29,46,70,31,59
2025-01-17,8,12,15,40,66,89,7,15
2025-01-16,31,38,59,69,72,88,64,73
2025-01-14,4,15,17,40,64,75,23,80
2025-01-11,5,6,11,22,35,85,30,53
2025-01-10,19,25,33,49,57,72,46,38
2025-01-09,15,33,40,71,74,82,89,15
2025-01-07,7,10,11,29,32,87,34,51
2025-01-04,31,42,43,63,83,86,37,86
2025-01-03,13,30,43,49,74,89,4,32
2025-01-02,19,21,29,74,77,88,7,56
2024-12-31,5,16,23,40,47,80,17,13
2024-12-30,3,8,18,25,58,75,12,54
2024-12-28,28,29,46,68,81,88,79,40
2024-12-27,9,13,15,43,53,68,58,69
2024-12-24,6,18,27,30,52,56,83,80
2024-12-21,23,25,53,55,71,79,63,6
2024-12-20,17,35,43,56,63,85,23,74
2024-12-19,2,4,8,20,22,76,72,60
2024-12-17,3,25,49,58,64,66,46,77
2024-12-14,34,50,52,59,70,83,13,74
2024-12-13,16,42,54,55,65,83,27,90
2024-12-12,20,61,76,78,85,87,44,72
2024-12-10,5,54,68,69,71,81,30,56
2024-12-07,21,30,55,60,70,75,13,25
2024-12-06,21,48,60,61,67,71,86,22
2024-12-05,4,42,45,72,82,84,25,10
2024-12-03,4,17,37,56,73,90,46,11
2024-11-30,27,48,50,69,74,81,13,36
2024-11-29,21,33,44,55,75,80,53,64
2024-11-28,3,8,37,54,74,84,26,26
2024-11-26,13,23,26,31,46,89,43,24
2024-11-23,15,22,29,32,35,67,87,23
2024-11-22,6,26,51,53,78,89,79,70
2024-11-21,4,7,20,24,41,67,85,35
2024-11-19,20,34,36,68,72,74,44,49
2024-11-16,52,56,66,68,70,73,90,12
2024-11-15,2,4,5,42,53,83,23,43
2024-11-14,36,46,69,70,73,82,26,84
2024-11-12,13,28,29,32,39,81,82,36
2024-11-09,26,36,43,51,63,89,21,57
2024-11-08,13,22,49,58,64,75,20,16
2024-11-07,1,50,68,75,81,84,8,25
2024-11-05,32,43,53,75,77,88,81,79
2024-11-04,27,32,33,44,60,89,52,5
2024-11-02,3,19,27,43,61,77,80,41
2024-10-31,18,40,55,58,71,85,46,46
2024-10-29,6,17,26,35,57,64,14,23
2024-10-26,14,31,40,42,52,65,15,69
2024-10-25,5,11,39,41,62,80,78,33
2024-10-24,7,21,23,28,29,31,20,66
2024-10-22,13,23,37,43,64,79,84,20
2024-10-19,14,67,73,86,89,90,8,77
2024-10-18,19,39,41,42,45,88,40,27
2024-10-17,2,23,24,42,46,88,61,27
2024-10-15,1,23,44,45,47,60,14,19
2024-10-12,11,13,16,22,42,51,37,47
2024-10-11,31,34,49,66,75,88,1,16
2024-10-10,6,48,64,80,87,89,43,82
2024-10-08,6,21,25,59,63,68,8,70
2024-10-05,13,41,47,58,81,84,4,81
2024-10-04,5,43,57,58,72,87,3,72
2024-10-03,26,27,40,51,67,86,4,82
2024-10-01,57,60,68,70,80,83,25,64
2024-09-28,4,8,28,33,34,57,27,88
2024-09-27,4,14,42,46,53,60,31,85
2024-09-26,2,13,14,41,52,79,84,12
2024-09-24,2,25,27,50,88,90,19,86
2024-09-21,8,33,35,39,78,83,52,72
2024-09-20,14,22,42,44,47,79,85,29
2024-09-19,3,13,44,45,56,61,33,34
2024-09-17,17,28,62,64,74,84,88,90
2024-09-14,1,31,55,65,76,88,52,34
2024-09-13,2,12,16,18,59,61,56,4
2024-09-12,29,35,65,67,70,80,10,79
2024-09-10,9,11,27,53,63,78,8,88
2024-09-07,1,16,64,70,72,82,34,86
2024-09-06,2,26,37,38,69,85,66,10
2024-09-05,4,5,29,32,69,89,15,46
2024-09-03,6,38,55,71,80,85,23,24
2024-08-31,1,20,27,41,60,77,7,43
2024-08-30,7,34,47,52,74,86,78,7
2024-08-29,5,23,46,52,60,80,79,54
2024-08-27,12,23,36,42,50,71,80,40
2024-08-24,17,28,63,72,75,81,79,51
2024-08-23,5,7,59,70,72,73,33,4
